
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        148 K
Secure System                   72 Services                   0     22,908 K
Registry                       132 Services                   0     47,912 K
smss.exe                       460 Services                   0      1,000 K
csrss.exe                      632 Services                   0      4,748 K
wininit.exe                    720 Services                   0      4,292 K
csrss.exe                      740 Console                    1      5,288 K
services.exe                   792 Services                   0     12,612 K
LsaIso.exe                     808 Services                   0      2,240 K
lsass.exe                      816 Services                   0     19,432 K
winlogon.exe                   908 Console                    1     10,136 K
svchost.exe                     96 Services                   0     30,852 K
fontdrvhost.exe                568 Services                   0      2,524 K
fontdrvhost.exe                556 Console                    1      4,676 K
svchost.exe                      8 Services                   0     15,448 K
svchost.exe                   1060 Services                   0      9,548 K
svchost.exe                   1164 Services                   0      9,108 K
svchost.exe                   1220 Services                   0      3,716 K
svchost.exe                   1308 Services                   0      8,844 K
IntelCpHDCPSvc.exe            1348 Services                   0      4,928 K
svchost.exe                   1356 Services                   0      6,200 K
svchost.exe                   1424 Services                   0      4,792 K
dwm.exe                       1496 Console                    1     86,188 K
svchost.exe                   1600 Services                   0      6,416 K
svchost.exe                   1608 Services                   0      5,312 K
svchost.exe                   1616 Services                   0     10,628 K
svchost.exe                   1624 Services                   0      5,932 K
svchost.exe                   1632 Services                   0     10,504 K
svchost.exe                   1684 Services                   0      3,536 K
svchost.exe                   1708 Services                   0     12,284 K
IntelCpHeciSvc.exe            1944 Services                   0      4,804 K
svchost.exe                   2024 Services                   0      4,456 K
svchost.exe                   2044 Services                   0      6,828 K
svchost.exe                   1104 Services                   0      7,136 K
svchost.exe                   2112 Services                   0     13,564 K
igfxCUIService.exe            2176 Services                   0      7,380 K
svchost.exe                   2184 Services                   0      5,396 K
svchost.exe                   2316 Services                   0      6,520 K
svchost.exe                   2324 Services                   0     12,888 K
svchost.exe                   2400 Services                   0   1,06,652 K
svchost.exe                   2408 Services                   0      4,400 K
svchost.exe                   2416 Services                   0      5,020 K
svchost.exe                   2524 Services                   0      8,840 K
svchost.exe                   2572 Services                   0      5,928 K
svchost.exe                   2584 Services                   0      5,968 K
svchost.exe                   2600 Services                   0      9,692 K
Memory Compression            2628 Services                   0   2,95,772 K
svchost.exe                   2712 Services                   0     10,780 K
svchost.exe                   2916 Services                   0      8,868 K
svchost.exe                   2160 Services                   0      7,012 K
svchost.exe                   2992 Services                   0      6,380 K
svchost.exe                   3112 Services                   0      6,936 K
svchost.exe                   3228 Services                   0     12,392 K
svchost.exe                   3264 Services                   0      6,688 K
svchost.exe                   3396 Services                   0      7,472 K
svchost.exe                   3404 Services                   0      9,016 K
svchost.exe                   3488 Services                   0      5,008 K
svchost.exe                   3592 Services                   0     16,912 K
svchost.exe                   3624 Services                   0      5,092 K
svchost.exe                   3632 Services                   0      7,508 K
svchost.exe                   3772 Services                   0     13,064 K
svchost.exe                   3808 Services                   0      4,424 K
svchost.exe                   3816 Services                   0      9,812 K
svchost.exe                   3912 Services                   0     15,308 K
spoolsv.exe                   3292 Services                   0     11,520 K
svchost.exe                   4252 Services                   0      6,104 K
FNPLicensingService64.exe     4260 Services                   0      8,088 K
AnyDesk.exe                   4268 Services                   0     11,852 K
OneApp.IGCC.WinService.ex     4276 Services                   0     36,548 K
svchost.exe                   4284 Services                   0     13,412 K
svchost.exe                   4292 Services                   0     23,932 K
svchost.exe                   4304 Services                   0      5,520 K
AdskLicensingService.exe      4324 Services                   0     20,508 K
svchost.exe                   4340 Services                   0     30,548 K
svchost.exe                   4348 Services                   0     14,156 K
LMS.exe                       4360 Services                   0      7,372 K
MpDefenderCoreService.exe     4372 Services                   0     17,620 K
AdminService.exe              4380 Services                   0      6,332 K
WsNativePushService.exe       4416 Services                   0      3,284 K
svchost.exe                   4444 Services                   0      4,452 K
sqlwriter.exe                 4528 Services                   0      5,324 K
svchost.exe                   4552 Services                   0      3,704 K
vmnetdhcp.exe                 4608 Services                   0      4,896 K
vmnat.exe                     4640 Services                   0      5,636 K
WMIRegistrationService.ex     4660 Services                   0     10,304 K
