
Image Name                     PID Services                                    
========================= ======== ============================================
System Idle Process              0 N/A                                         
System                           4 N/A                                         
Secure System                   72 N/A                                         
Registry                       132 N/A                                         
smss.exe                       460 N/A                                         
csrss.exe                      632 N/A                                         
wininit.exe                    720 N/A                                         
csrss.exe                      740 N/A                                         
services.exe                   792 N/A                                         
LsaIso.exe                     808 N/A                                         
lsass.exe                      816 KeyIso, SamSs, VaultSvc                     
winlogon.exe                   908 N/A                                         
svchost.exe                     96 BrokerInfrastructure, DcomLaunch, PlugPlay, 
                                   Power, SystemEventsBroker                   
fontdrvhost.exe                568 N/A                                         
fontdrvhost.exe                556 N/A                                         
svchost.exe                      8 RpcEptMapper, RpcSs                         
svchost.exe                   1060 LSM                                         
svchost.exe                   1164 TermService                                 
svchost.exe                   1220 HvHost                                      
svchost.exe                   1308 NcbService                                  
IntelCpHDCPSvc.exe            1348 cplspcon                                    
svchost.exe                   1356 DisplayEnhancementService                   
svchost.exe                   1424 hidserv                                     
dwm.exe                       1496 N/A                                         
svchost.exe                   1600 BTAGService                                 
svchost.exe                   1608 BthAvctpSvc                                 
svchost.exe                   1616 TimeBrokerSvc                               
svchost.exe                   1624 EventSystem                                 
svchost.exe                   1632 bthserv                                     
svchost.exe                   1684 lmhosts                                     
svchost.exe                   1708 EventLog                                    
IntelCpHeciSvc.exe            1944 cphs                                        
svchost.exe                   2024 CoreMessagingRegistrar                      
svchost.exe                   2044 SENS                                        
svchost.exe                   1104 DevQueryBroker                              
svchost.exe                   2112 Schedule                                    
igfxCUIService.exe            2176 igfxCUIService2.0.0.0                       
svchost.exe                   2184 nsi                                         
svchost.exe                   2316 Dhcp                                        
svchost.exe                   2324 ProfSvc                                     
svchost.exe                   2400 SysMain                                     
svchost.exe                   2408 Themes                                      
svchost.exe                   2416 DispBrokerDesktopSvc                        
svchost.exe                   2524 UserManager                                 
svchost.exe                   2572 AudioEndpointBuilder                        
svchost.exe                   2584 UmRdpService                                
svchost.exe                   2600 FontCache                                   
Memory Compression            2628 N/A                                         
svchost.exe                   2712 NlaSvc                                      
svchost.exe                   2916 netprofm                                    
svchost.exe                   2160 CertPropSvc                                 
svchost.exe                   2992 LanmanWorkstation                           
svchost.exe                   3112 SessionEnv                                  
svchost.exe                   3228 Audiosrv                                    
svchost.exe                   3264 WinHttpAutoProxySvc                         
svchost.exe                   3396 hns                                         
svchost.exe                   3404 Dnscache                                    
svchost.exe                   3488 nvagent                                     
svchost.exe                   3592 BFE, mpssvc                                 
svchost.exe                   3624 DusmSvc                                     
svchost.exe                   3632 Wcmsvc                                      
svchost.exe                   3772 WlanSvc                                     
svchost.exe                   3808 SharedAccess                                
svchost.exe                   3816 ShellHWDetection                            
svchost.exe                   3912 StateRepository                             
spoolsv.exe                   3292 Spooler                                     
svchost.exe                   4252 DeviceAssociationService                    
FNPLicensingService64.exe     4260 FlexNet Licensing Service 64                
AnyDesk.exe                   4268 AnyDesk                                     
OneApp.IGCC.WinService.ex     4276 igccservice                                 
svchost.exe                   4284 CryptSvc                                    
svchost.exe                   4292 DPS                                         
svchost.exe                   4304 IKEEXT                                      
AdskLicensingService.exe      4324 AdskLicensingService                        
svchost.exe                   4340 DiagTrack                                   
svchost.exe                   4348 Winmgmt                                     
LMS.exe                       4360 LMS                                         
MpDefenderCoreService.exe     4372 MDCoreSvc                                   
AdminService.exe              4380 AtherosSvc                                  
WsNativePushService.exe       4416 NativePushService                           
svchost.exe                   4444 SstpSvc                                     
sqlwriter.exe                 4528 SQLWriter                                   
svchost.exe                   4552 TrkWks                                      
vmnetdhcp.exe                 4608 VMnetDHCP                                   
vmnat.exe                     4640 VMware NAT Service                          
WMIRegistrationService.ex     4660 WMIRegistrationService                      
svchost.exe                   4668 WpnService                                  
svchost.exe                   4768 TapiSrv                                     
MsMpEng.exe                   4980 WinDefend                                   
svchost.exe                    404 LanmanServer                                
svchost.exe                   3512 WdiServiceHost                              
wslservice.exe                5152 WSLService                                  
dasHost.exe                   5208 N/A                                         
svchost.exe                   5268 RasMan                                      
svchost.exe                   5372 iphlpsvc                                    
vmware-authd.exe              5408 VMAuthdService                              
vmware-usbarbitrator64.ex     5432 VMUSBArbService                             
OfficeClickToRun.exe          5568 ClickToRunSvc                               
svchost.exe                   5752 SSDPSRV                                     
jhi_service.exe               5776 jhi_service                                 
svchost.exe                   5852 PhoneSvc                                    
dllhost.exe                   5740 N/A                                         
SearchIndexer.exe             4908 WSearch                                     
svchost.exe                   6276 LicenseManager                              
AggregatorHost.exe            1388 N/A                                         
NisSrv.exe                    6972 WdNisSvc                                    
sihost.exe                    2156 N/A                                         
svchost.exe                   4540 CDPUserSvc_81f30                            
svchost.exe                   5784 BluetoothUserService_81f30                  
svchost.exe                   5468 WpnUserService_81f30                        
igfxEM.exe                    3976 N/A                                         
svchost.exe                   5416 TokenBroker                                 
taskhostw.exe                 1204 N/A                                         
svchost.exe                   6552 Appinfo                                     
svchost.exe                   5964 RmSvc                                       
svchost.exe                    992 TabletInputService                          
svchost.exe                   7312 CDPSvc                                      
ctfmon.exe                    7320 N/A                                         
svchost.exe                   7716 NgcSvc                                      
svchost.exe                   7756 NgcCtnrSvc                                  
explorer.exe                  8060 N/A                                         
svchost.exe                   3780 cbdhsvc_81f30                               
StartMenuExperienceHost.e     6548 N/A                                         
svchost.exe                   6452 UsoSvc                                      
RuntimeBroker.exe             3972 N/A                                         
SearchApp.exe                 6920 N/A                                         
RuntimeBroker.exe             7392 N/A                                         
svchost.exe                   1528 DoSvc                                       
RuntimeBroker.exe             2192 N/A                                         
WsToastNotification.exe       1412 N/A                                         
conhost.exe                   7512 N/A                                         
svchost.exe                   8616 StorSvc                                     
svchost.exe                   9064 W32Time                                     
svchost.exe                   9108 wscsvc                                      
svchost.exe                   9176 OneSyncSvc_81f30                            
SecurityHealthService.exe     1056 SecurityHealthService                       
chrome.exe                    8580 N/A                                         
svchost.exe                   6116 PcaSvc                                      
chrome.exe                    2612 N/A                                         
chrome.exe                    8096 N/A                                         
chrome.exe                    1564 N/A                                         
chrome.exe                    7936 N/A                                         
TextInputHost.exe             5720 N/A                                         
chrome.exe                    3020 N/A                                         
chrome.exe                    6136 N/A                                         
SDXHelper.exe                 1108 N/A                                         
taskhostw.exe                 3868 N/A                                         
dllhost.exe                   9056 N/A                                         
SystemSettings.exe             612 N/A                                         
ApplicationFrameHost.exe      8160 N/A                                         
UserOOBEBroker.exe             400 N/A                                         
chrome.exe                    8832 N/A                                         
dllhost.exe                   8368 N/A                                         
Code.exe                      5948 N/A                                         
Code.exe                      3968 N/A                                         
Code.exe                      9468 N/A                                         
Code.exe                      1008 N/A                                         
Code.exe                     10396 N/A                                         
Code.exe                     10600 N/A                                         
Code.exe                      8692 N/A                                         
Code.exe                     10120 N/A                                         
Code.exe                     10724 N/A                                         
Code.exe                     10636 N/A                                         
Code.exe                      9072 N/A                                         
Code.exe                     10860 N/A                                         
svchost.exe                  11480 DsSvc                                       
operfmon.exe                  1320 N/A                                         
chrome.exe                    7908 N/A                                         
ShellExperienceHost.exe      10140 N/A                                         
RuntimeBroker.exe             7436 N/A                                         
chrome.exe                    7124 N/A                                         
SearchProtocolHost.exe         500 N/A                                         
chrome.exe                    2824 N/A                                         
chrome.exe                    7484 N/A                                         
chrome.exe                   10376 N/A                                         
smartscreen.exe              10876 N/A                                         
svchost.exe                   9424 gpsvc                                       
svchost.exe                  11784 wlidsvc                                     
svchost.exe                  10668 AppXSvc                                     
notepad.exe                  10904 N/A                                         
chrome.exe                   11996 N/A                                         
WmiPrvSE.exe                  7564 N/A                                         
audiodg.exe                  10224 N/A                                         
XtracTorq.exe                 9136 N/A                                         
Fact-NetworkArtifacts.exe     9572 N/A                                         
conhost.exe                  11024 N/A                                         
FIREC.exe                    11012 N/A                                         
conhost.exe                  10372 N/A                                         
cmd.exe                      11736 N/A                                         
conhost.exe                  12260 N/A                                         
cmd.exe                       6732 N/A                                         
conhost.exe                   3240 N/A                                         
cmd.exe                       9576 N/A                                         
cmd.exe                       5824 N/A                                         
conhost.exe                   7432 N/A                                         
cmd.exe                      11380 N/A                                         
conhost.exe                   3424 N/A                                         
net.exe                       7620 N/A                                         
conhost.exe                   5528 N/A                                         
wevtutil.exe                 11716 N/A                                         
net1.exe                      6712 N/A                                         
SearchProtocolHost.exe        8028 N/A                                         
WMIC.exe                     11316 N/A                                         
WMIC.exe                     11004 N/A                                         
systeminfo.exe                3340 N/A                                         
cmd.exe                       3928 N/A                                         
conhost.exe                   8356 N/A                                         
cmd.exe                       8596 N/A                                         
conhost.exe                   8084 N/A                                         
NETSTAT.EXE                  10316 N/A                                         
SearchFilterHost.exe          3096 N/A                                         
netsh.exe                     8848 N/A                                         
cmd.exe                       9832 N/A                                         
conhost.exe                   1052 N/A                                         
ROUTE.EXE                     8052 N/A                                         
cmd.exe                       8348 N/A                                         
cmd.exe                       6912 N/A                                         
conhost.exe                  10504 N/A                                         
